CustNum,Total,0,1,2,3,4,5,6,7,8,9
1.000,67,0.000,0.000,0.090,0.090,0.209,0.060,0.194,0.269,0.030,0.060
3.000,248,0.012,0.016,0.141,0.069,0.069,0.056,0.246,0.161,0.149,0.081
15.000,117,0.000,0.000,0.094,0.009,0.214,0.017,0.231,0.256,0.179,0.000
22.000,51,0.000,0.000,0.020,0.020,0.196,0.000,0.078,0.059,0.627,0.000
27.000,198,0.005,0.040,0.076,0.025,0.237,0.000,0.116,0.222,0.273,0.005
37.000,63,0.016,0.000,0.079,0.016,0.143,0.016,0.143,0.175,0.349,0.063
40.000,182,0.011,0.000,0.044,0.005,0.258,0.126,0.137,0.203,0.187,0.027
42.000,148,0.000,0.047,0.223,0.034,0.196,0.034,0.176,0.122,0.162,0.007
68.000,307,0.007,0.003,0.065,0.023,0.306,0.016,0.166,0.052,0.215,0.147
86.000,58,0.000,0.000,0.086,0.000,0.052,0.000,0.000,0.000,0.845,0.017
91.000,58,0.000,0.000,0.086,0.000,0.190,0.000,0.293,0.207,0.155,0.069
102.000,67,0.000,0.000,0.000,0.000,0.224,0.030,0.134,0.119,0.478,0.015
116.000,89,0.000,0.000,0.056,0.022,0.213,0.056,0.034,0.337,0.270,0.011
117.000,103,0.068,0.000,0.068,0.019,0.340,0.010,0.029,0.165,0.301,0.000
118.000,125,0.048,0.016,0.104,0.048,0.264,0.016,0.056,0.240,0.160,0.048
121.000,128,0.000,0.016,0.016,0.000,0.656,0.023,0.070,0.070,0.117,0.031
133.000,78,0.000,0.000,0.013,0.000,0.282,0.013,0.244,0.179,0.167,0.103
137.000,109,0.018,0.018,0.064,0.028,0.312,0.018,0.119,0.211,0.211,0.000
139.000,503,0.000,0.026,0.076,0.018,0.318,0.040,0.105,0.195,0.189,0.034
156.000,231,0.000,0.039,0.134,0.000,0.130,0.017,0.320,0.147,0.160,0.052
183.000,145,0.007,0.007,0.076,0.034,0.179,0.021,0.124,0.069,0.469,0.014
203.000,286,0.000,0.000,0.073,0.031,0.147,0.000,0.434,0.182,0.129,0.003
222.000,79,0.000,0.000,0.114,0.228,0.228,0.038,0.025,0.038,0.304,0.025
237.000,153,0.000,0.000,0.124,0.013,0.261,0.046,0.111,0.105,0.307,0.033
266.000,51,0.000,0.000,0.059,0.000,0.059,0.059,0.431,0.098,0.275,0.020
282.000,262,0.000,0.076,0.038,0.011,0.282,0.118,0.076,0.237,0.156,0.004
289.000,152,0.000,0.020,0.099,0.007,0.316,0.007,0.191,0.079,0.243,0.039
290.000,114,0.000,0.000,0.044,0.009,0.009,0.018,0.430,0.465,0.018,0.009
300.000,156,0.006,0.006,0.096,0.071,0.288,0.006,0.083,0.179,0.231,0.032
304.000,55,0.000,0.000,0.055,0.000,0.400,0.036,0.000,0.036,0.473,0.000
305.000,108,0.000,0.028,0.065,0.009,0.315,0.000,0.185,0.157,0.157,0.083
319.000,86,0.035,0.000,0.140,0.000,0.035,0.023,0.279,0.058,0.419,0.012
336.000,219,0.000,0.009,0.032,0.014,0.438,0.146,0.119,0.105,0.091,0.046
364.000,261,0.011,0.023,0.050,0.004,0.360,0.084,0.107,0.157,0.188,0.015
385.000,687,0.009,0.006,0.100,0.039,0.371,0.033,0.092,0.130,0.163,0.057
426.000,134,0.007,0.000,0.097,0.015,0.142,0.149,0.127,0.336,0.104,0.022
428.000,53,0.000,0.019,0.057,0.000,0.170,0.094,0.283,0.132,0.208,0.038
447.000,78,0.000,0.000,0.051,0.026,0.231,0.090,0.064,0.244,0.231,0.064
448.000,84,0.000,0.000,0.083,0.024,0.250,0.024,0.048,0.238,0.310,0.024
463.000,94,0.000,0.000,0.011,0.000,0.223,0.021,0.043,0.309,0.330,0.064
466.000,153,0.000,0.026,0.085,0.007,0.268,0.026,0.105,0.144,0.288,0.052
467.000,65,0.031,0.000,0.062,0.015,0.200,0.031,0.092,0.123,0.415,0.031
469.000,439,0.023,0.036,0.021,0.011,0.255,0.066,0.103,0.214,0.253,0.018
472.000,162,0.000,0.000,0.056,0.037,0.327,0.093,0.130,0.148,0.185,0.025
477.000,73,0.000,0.014,0.192,0.041,0.315,0.082,0.123,0.110,0.041,0.082
480.000,56,0.000,0.000,0.125,0.000,0.125,0.000,0.036,0.250,0.429,0.036
484.000,131,0.008,0.000,0.076,0.008,0.267,0.000,0.183,0.267,0.191,0.000
486.000,142,0.028,0.035,0.070,0.028,0.387,0.063,0.007,0.169,0.190,0.021
495.000,277,0.000,0.007,0.054,0.014,0.372,0.040,0.076,0.195,0.213,0.029
518.000,103,0.000,0.000,0.010,0.000,0.184,0.010,0.000,0.058,0.718,0.019
519.000,141,0.000,0.000,0.028,0.000,0.241,0.050,0.113,0.184,0.184,0.199
522.000,119,0.000,0.000,0.101,0.076,0.429,0.092,0.109,0.101,0.059,0.034
527.000,56,0.000,0.000,0.071,0.107,0.196,0.054,0.089,0.214,0.143,0.125
530.000,152,0.000,0.000,0.046,0.020,0.184,0.026,0.158,0.178,0.289,0.099
536.000,112,0.000,0.000,0.116,0.000,0.277,0.143,0.161,0.143,0.125,0.036
537.000,57,0.000,0.000,0.123,0.000,0.175,0.053,0.246,0.158,0.228,0.018
539.000,66,0.000,0.000,0.061,0.030,0.273,0.000,0.121,0.182,0.318,0.015
560.000,150,0.000,0.000,0.100,0.027,0.267,0.033,0.213,0.140,0.180,0.040
563.000,54,0.000,0.019,0.037,0.037,0.463,0.019,0.019,0.074,0.278,0.056
564.000,67,0.000,0.000,0.000,0.000,0.269,0.000,0.045,0.030,0.627,0.030
566.000,110,0.027,0.000,0.045,0.027,0.455,0.045,0.073,0.209,0.073,0.045
579.000,79,0.000,0.000,0.025,0.013,0.177,0.101,0.228,0.266,0.177,0.013
580.000,61,0.000,0.000,0.033,0.016,0.410,0.033,0.066,0.098,0.328,0.016
581.000,53,0.000,0.000,0.000,0.000,0.113,0.038,0.113,0.264,0.453,0.019
582.000,65,0.000,0.000,0.169,0.000,0.400,0.046,0.108,0.123,0.123,0.031
594.000,93,0.011,0.000,0.054,0.043,0.194,0.065,0.000,0.301,0.312,0.022
595.000,167,0.012,0.006,0.090,0.012,0.341,0.018,0.126,0.120,0.162,0.114
820.000,87,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.287,0.701
992.000,104,0.010,0.000,0.000,0.000,0.375,0.183,0.067,0.260,0.106,0.000
9001.000,518,0.471,0.000,0.010,0.000,0.006,0.000,0.000,0.010,0.504,0.000
9002.000,507,0.465,0.000,0.004,0.000,0.002,0.000,0.000,0.008,0.521,0.000
9003.000,512,0.459,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.533,0.000
9004.000,523,0.465,0.000,0.006,0.000,0.006,0.000,0.000,0.004,0.520,0.000
9005.000,510,0.467,0.000,0.002,0.000,0.016,0.000,0.000,0.006,0.508,0.002
9006.000,516,0.461,0.000,0.004,0.000,0.017,0.000,0.000,0.004,0.514,0.000
9007.000,510,0.467,0.000,0.006,0.000,0.018,0.000,0.000,0.004,0.506,0.000
9008.000,529,0.463,0.000,0.004,0.000,0.006,0.000,0.000,0.000,0.526,0.002
9009.000,514,0.453,0.000,0.002,0.000,0.010,0.000,0.000,0.000,0.535,0.000
9010.000,511,0.460,0.000,0.014,0.000,0.008,0.000,0.002,0.002,0.515,0.000
9011.000,528,0.453,0.000,0.004,0.000,0.006,0.000,0.000,0.008,0.530,0.000
9012.000,515,0.460,0.000,0.004,0.000,0.006,0.000,0.000,0.000,0.530,0.000
9013.000,512,0.441,0.000,0.008,0.000,0.010,0.000,0.000,0.000,0.541,0.000
9014.000,512,0.459,0.000,0.008,0.000,0.010,0.000,0.000,0.002,0.521,0.000
9015.000,523,0.453,0.000,0.008,0.000,0.008,0.000,0.000,0.004,0.526,0.002
9016.000,498,0.454,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.534,0.000
9017.000,492,0.470,0.000,0.000,0.000,0.024,0.000,0.000,0.002,0.502,0.002
9018.000,522,0.454,0.000,0.011,0.000,0.015,0.000,0.000,0.008,0.510,0.002
9019.000,507,0.464,0.000,0.002,0.000,0.016,0.002,0.000,0.012,0.505,0.000
9020.000,510,0.457,0.000,0.002,0.000,0.006,0.000,0.000,0.002,0.529,0.004
9021.000,500,0.450,0.000,0.000,0.000,0.012,0.000,0.000,0.002,0.528,0.008
9022.000,481,0.449,0.000,0.004,0.000,0.010,0.000,0.000,0.004,0.522,0.010
9023.000,449,0.477,0.000,0.000,0.000,0.007,0.000,0.000,0.007,0.508,0.002
9024.000,444,0.462,0.000,0.002,0.000,0.018,0.000,0.002,0.002,0.511,0.002
9025.000,474,0.447,0.000,0.006,0.000,0.011,0.000,0.000,0.004,0.525,0.006
9026.000,457,0.449,0.000,0.002,0.000,0.015,0.002,0.000,0.007,0.514,0.011
9027.000,454,0.416,0.000,0.011,0.000,0.015,0.002,0.000,0.002,0.540,0.013
9028.000,440,0.441,0.000,0.002,0.000,0.011,0.007,0.000,0.009,0.514,0.016
9029.000,420,0.457,0.000,0.002,0.000,0.010,0.000,0.005,0.002,0.517,0.007
9030.000,435,0.425,0.000,0.000,0.000,0.011,0.005,0.000,0.011,0.533,0.014
9031.000,390,0.423,0.000,0.000,0.000,0.008,0.008,0.003,0.015,0.538,0.005
9032.000,388,0.412,0.000,0.008,0.000,0.005,0.003,0.000,0.010,0.546,0.015
9033.000,368,0.424,0.000,0.005,0.000,0.024,0.003,0.000,0.011,0.514,0.019
9034.000,376,0.410,0.000,0.008,0.000,0.013,0.000,0.003,0.008,0.535,0.024
9035.000,365,0.433,0.000,0.003,0.000,0.025,0.000,0.000,0.008,0.523,0.008
9036.000,358,0.427,0.000,0.008,0.000,0.011,0.008,0.003,0.008,0.520,0.014
9037.000,324,0.432,0.000,0.012,0.000,0.012,0.003,0.003,0.022,0.497,0.019
9038.000,328,0.424,0.000,0.012,0.000,0.009,0.003,0.003,0.006,0.524,0.018
9039.000,300,0.417,0.000,0.003,0.000,0.017,0.000,0.000,0.003,0.550,0.010
9040.000,289,0.439,0.000,0.007,0.000,0.028,0.007,0.003,0.014,0.484,0.017
9041.000,260,0.446,0.000,0.004,0.000,0.012,0.008,0.004,0.015,0.508,0.004
9042.000,252,0.452,0.000,0.004,0.000,0.004,0.000,0.004,0.012,0.520,0.004
9043.000,225,0.440,0.000,0.004,0.000,0.031,0.004,0.004,0.018,0.476,0.022
9044.000,214,0.439,0.000,0.009,0.000,0.028,0.009,0.005,0.019,0.472,0.019
9045.000,225,0.427,0.000,0.004,0.000,0.009,0.004,0.000,0.009,0.529,0.018
9046.000,189,0.455,0.000,0.016,0.000,0.000,0.005,0.000,0.011,0.513,0.000
9047.000,171,0.456,0.000,0.006,0.000,0.012,0.018,0.000,0.006,0.503,0.000
9048.000,157,0.484,0.000,0.000,0.000,0.025,0.006,0.000,0.006,0.471,0.006
9049.000,178,0.416,0.000,0.000,0.000,0.011,0.006,0.000,0.006,0.534,0.028
9050.000,169,0.426,0.000,0.000,0.000,0.012,0.006,0.000,0.018,0.515,0.024
9051.000,169,0.396,0.000,0.012,0.000,0.024,0.000,0.000,0.006,0.550,0.012
9052.000,140,0.436,0.000,0.007,0.000,0.029,0.000,0.000,0.014,0.507,0.007
9053.000,123,0.472,0.000,0.000,0.000,0.008,0.000,0.000,0.008,0.504,0.008
9054.000,132,0.409,0.000,0.000,0.000,0.015,0.000,0.000,0.015,0.545,0.015
9055.000,121,0.455,0.000,0.008,0.000,0.025,0.000,0.000,0.008,0.496,0.008
9056.000,124,0.427,0.000,0.008,0.000,0.008,0.000,0.000,0.008,0.548,0.000
9057.000,115,0.487,0.000,0.009,0.000,0.017,0.000,0.000,0.009,0.470,0.009
9058.000,131,0.427,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.557,0.008
9059.000,117,0.453,0.000,0.017,0.000,0.009,0.000,0.017,0.000,0.504,0.000
9060.000,114,0.439,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.544,0.009
9061.000,120,0.408,0.000,0.025,0.000,0.008,0.008,0.000,0.000,0.533,0.017
9062.000,94,0.468,0.000,0.011,0.000,0.011,0.000,0.000,0.011,0.500,0.000
9063.000,106,0.434,0.000,0.000,0.000,0.019,0.000,0.000,0.009,0.528,0.009
9064.000,96,0.469,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.521,0.000
9065.000,85,0.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.518,0.000
9066.000,93,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.548,0.000
9067.000,93,0.452,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.527,0.000
9068.000,93,0.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.538,0.000
9069.000,80,0.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.550,0.000
9070.000,80,0.450,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.537,0.000
9071.000,87,0.460,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.529,0.000
9072.000,86,0.430,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.547,0.012
9073.000,82,0.427,0.000,0.000,0.000,0.000,0.012,0.000,0.012,0.537,0.012
9074.000,81,0.420,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.543,0.012
9075.000,79,0.443,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.506,0.025
9076.000,79,0.443,0.000,0.000,0.000,0.025,0.013,0.000,0.000,0.519,0.000
9077.000,73,0.452,0.000,0.014,0.000,0.027,0.000,0.000,0.000,0.493,0.014
9078.000,71,0.437,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.507,0.042
9079.000,77,0.416,0.000,0.000,0.000,0.026,0.000,0.000,0.013,0.519,0.026
9080.000,88,0.386,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.591,0.011
9081.000,83,0.398,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.578,0.012
9082.000,81,0.407,0.000,0.025,0.000,0.049,0.000,0.000,0.000,0.506,0.012
9083.000,75,0.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.613,0.027
9084.000,67,0.418,0.000,0.015,0.000,0.030,0.000,0.000,0.000,0.522,0.015
9085.000,72,0.389,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.583,0.014
9086.000,63,0.429,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.524,0.032
9087.000,63,0.381,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.587,0.016
9088.000,60,0.400,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.567,0.017
9089.000,71,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.634,0.014
9090.000,70,0.343,0.000,0.000,0.000,0.043,0.000,0.014,0.043,0.543,0.014
9091.000,73,0.342,0.000,0.027,0.000,0.027,0.000,0.000,0.000,0.589,0.014
9092.000,62,0.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.548,0.032
9093.000,62,0.387,0.000,0.000,0.000,0.016,0.000,0.016,0.000,0.565,0.016
9094.000,58,0.431,0.000,0.000,0.000,0.000,0.017,0.017,0.000,0.500,0.034
9095.000,53,0.415,0.000,0.000,0.000,0.038,0.038,0.019,0.000,0.434,0.057
9096.000,61,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.574,0.016
9099.000,55,0.364,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.600,0.018
9100.000,52,0.327,0.000,0.000,0.000,0.058,0.000,0.000,0.000,0.558,0.058
9801.000,209,0.455,0.000,0.014,0.000,0.005,0.005,0.005,0.000,0.517,0.000
9802.000,124,0.468,0.000,0.016,0.000,0.016,0.000,0.000,0.000,0.500,0.000
9803.000,83,0.470,0.000,0.012,0.000,0.012,0.000,0.000,0.000,0.494,0.012
9804.000,56,0.464,0.000,0.000,0.000,0.036,0.018,0.000,0.000,0.482,0.000
22175651.000,96,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.292,0.646
22232338.000,55,0.000,0.000,0.000,0.000,0.018,0.000,0.018,0.018,0.345,0.600
22235816.000,69,0.000,0.000,0.014,0.000,0.101,0.000,0.000,0.232,0.188,0.464
22507995.000,131,0.000,0.000,0.038,0.000,0.267,0.000,0.160,0.252,0.267,0.015
22508873.000,101,0.000,0.000,0.000,0.000,0.000,0.000,0.970,0.030,0.000,0.000
22510198.000,64,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.547,0.453
22513537.000,70,0.000,0.000,0.486,0.014,0.043,0.014,0.029,0.043,0.000,0.371
22520558.000,72,0.000,0.000,0.000,0.000,0.153,0.000,0.014,0.042,0.472,0.319
22521288.000,238,0.034,0.008,0.008,0.013,0.063,0.008,0.273,0.500,0.084,0.008
22527250.000,64,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.469,0.516
22536603.000,98,0.031,0.000,0.041,0.000,0.020,0.000,0.000,0.031,0.418,0.459
22547014.000,59,0.000,0.000,0.000,0.000,0.085,0.000,0.000,0.034,0.119,0.763
22553066.000,76,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.368,0.632
22554517.000,60,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.950
22556663.000,162,0.000,0.000,0.012,0.000,0.068,0.000,0.037,0.080,0.272,0.531
22566519.000,58,0.000,0.000,0.345,0.000,0.069,0.000,0.000,0.190,0.000,0.397
22596390.000,123,0.000,0.000,0.089,0.000,0.000,0.000,0.033,0.000,0.317,0.561
22598204.000,122,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.016,0.123,0.828
22600166.000,148,0.000,0.007,0.115,0.000,0.074,0.135,0.365,0.250,0.007,0.047
22600368.000,55,0.000,0.000,0.018,0.000,0.000,0.000,0.055,0.000,0.200,0.727
22601082.000,70,0.043,0.029,0.114,0.043,0.229,0.029,0.171,0.071,0.014,0.257
22680213.000,69,0.014,0.000,0.072,0.000,0.072,0.000,0.101,0.101,0.087,0.551
22697965.000,79,0.253,0.000,0.114,0.013,0.203,0.000,0.190,0.051,0.127,0.051
22761073.000,67,0.000,0.000,0.015,0.000,0.030,0.090,0.627,0.209,0.015,0.015
22761092.000,102,0.020,0.000,0.049,0.000,0.137,0.000,0.020,0.186,0.373,0.216
22764866.000,60,0.000,0.000,0.033,0.017,0.383,0.000,0.467,0.033,0.000,0.067
22766145.000,81,0.000,0.000,0.395,0.000,0.148,0.012,0.247,0.148,0.000,0.049
22768570.000,55,0.000,0.000,0.055,0.018,0.182,0.000,0.055,0.164,0.127,0.400
22769536.000,52,0.000,0.000,0.000,0.000,0.000,0.000,0.288,0.135,0.000,0.577
22771010.000,63,0.000,0.000,0.381,0.000,0.000,0.000,0.063,0.556,0.000,0.000
22771023.000,118,0.000,0.008,0.144,0.000,0.356,0.093,0.059,0.034,0.237,0.068
22772616.000,141,0.007,0.000,0.050,0.007,0.014,0.128,0.730,0.014,0.000,0.050
22774840.000,90,0.000,0.033,0.011,0.000,0.067,0.011,0.267,0.222,0.000,0.389
22776113.000,91,0.000,0.033,0.033,0.000,0.462,0.044,0.011,0.418,0.000,0.000
22777151.000,61,0.000,0.000,0.033,0.016,0.066,0.000,0.279,0.557,0.033,0.016
22777882.000,82,0.000,0.000,0.244,0.000,0.110,0.098,0.037,0.378,0.110,0.024
22777947.000,53,0.000,0.000,0.000,0.019,0.736,0.000,0.113,0.019,0.113,0.000
22779577.000,52,0.058,0.019,0.269,0.019,0.269,0.000,0.173,0.173,0.000,0.019
22796198.000,52,0.019,0.019,0.038,0.000,0.327,0.269,0.115,0.096,0.000,0.115
22797729.000,102,0.000,0.010,0.069,0.000,0.108,0.490,0.098,0.167,0.010,0.049
22798696.000,71,0.014,0.000,0.085,0.000,0.211,0.310,0.014,0.141,0.014,0.211
22799295.000,61,0.311,0.049,0.000,0.016,0.328,0.033,0.000,0.213,0.016,0.033
23256829.000,61,0.000,0.000,0.033,0.016,0.541,0.016,0.049,0.000,0.180,0.164
23412986.000,53,0.000,0.000,0.075,0.000,0.226,0.000,0.019,0.000,0.377,0.302
23452641.000,67,0.000,0.000,0.000,0.000,0.284,0.000,0.104,0.045,0.254,0.313
23581919.000,66,0.000,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.409,0.515
23621010.000,338,0.018,0.003,0.089,0.056,0.160,0.027,0.127,0.095,0.382,0.044
23623949.000,57,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.912
23631326.000,68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.324,0.676
23637970.000,53,0.000,0.000,0.000,0.000,0.113,0.000,0.000,0.000,0.226,0.660
23643868.000,60,0.033,0.017,0.017,0.000,0.017,0.000,0.000,0.033,0.267,0.617
23655363.000,63,0.016,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.444,0.508
23696813.000,88,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.352,0.625
23916066.000,166,0.000,0.000,0.012,0.000,0.120,0.012,0.018,0.006,0.229,0.602
23962813.000,59,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.051,0.305,0.627
25317172.000,90,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.022,0.967
25552330.000,52,0.019,0.000,0.000,0.000,0.019,0.000,0.000,0.019,0.231,0.712
26519070.000,71,0.000,0.000,0.014,0.000,0.169,0.000,0.000,0.000,0.099,0.718
26601501.000,64,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.062,0.594,0.297
26812029.000,89,0.000,0.000,0.045,0.011,0.360,0.090,0.045,0.079,0.090,0.281
26861601.000,63,0.000,0.000,0.095,0.000,0.016,0.635,0.111,0.127,0.000,0.016
27043052.000,52,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.519,0.442
27080086.000,60,0.000,0.000,0.033,0.000,0.117,0.000,0.000,0.033,0.100,0.717
27083214.000,64,0.000,0.000,0.000,0.000,0.266,0.000,0.000,0.016,0.516,0.203
27087228.000,53,0.000,0.000,0.000,0.000,0.000,0.245,0.245,0.358,0.113,0.038
27205042.000,57,0.018,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.702,0.263
27207357.000,74,0.000,0.000,0.000,0.000,0.014,0.014,0.000,0.108,0.554,0.311
27220510.000,89,0.011,0.011,0.000,0.000,0.011,0.000,0.000,0.000,0.292,0.674
27224397.000,86,0.000,0.000,0.000,0.000,0.023,0.000,0.023,0.070,0.558,0.326
27297491.000,58,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.328,0.621
27322754.000,58,0.000,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.414,0.534
27372537.000,78,0.000,0.000,0.000,0.000,0.282,0.000,0.000,0.064,0.282,0.372
27547919.000,106,0.000,0.000,0.000,0.000,0.009,0.000,0.019,0.085,0.500,0.387
27556185.000,52,0.000,0.000,0.000,0.000,0.019,0.000,0.846,0.077,0.000,0.058
27719613.000,57,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.333,0.632
27732326.000,80,0.013,0.000,0.000,0.000,0.075,0.000,0.000,0.025,0.388,0.500
28322746.000,71,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.296,0.690
29014275.000,117,0.017,0.000,0.077,0.017,0.291,0.094,0.145,0.265,0.051,0.043
29083906.000,82,0.024,0.012,0.049,0.012,0.415,0.073,0.134,0.220,0.037,0.024
29310679.000,62,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.855
29337766.000,54,0.000,0.000,0.000,0.000,0.074,0.000,0.000,0.000,0.259,0.667
29377536.000,65,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.523,0.477
29569735.000,71,0.028,0.000,0.056,0.028,0.254,0.028,0.197,0.169,0.085,0.155
29578172.000,107,0.000,0.000,0.047,0.000,0.019,0.000,0.009,0.019,0.308,0.598
29648346.000,57,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.105,0.772,0.088
29663552.000,283,0.004,0.004,0.007,0.000,0.138,0.053,0.025,0.240,0.039,0.491
29900938.000,56,0.000,0.000,0.036,0.000,0.500,0.321,0.107,0.036,0.000,0.000
29902131.000,105,0.000,0.000,0.010,0.000,0.038,0.171,0.038,0.705,0.038,0.000
29903796.000,76,0.013,0.000,0.158,0.013,0.026,0.013,0.079,0.632,0.053,0.013
29906104.000,182,0.000,0.005,0.066,0.011,0.451,0.000,0.159,0.297,0.000,0.011
29906196.000,62,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.661,0.339
29906441.000,53,0.000,0.000,0.038,0.113,0.038,0.000,0.811,0.000,0.000,0.000
29906638.000,72,0.000,0.000,0.042,0.472,0.153,0.000,0.042,0.194,0.000,0.097
